"id_fecha","fecha_corte","dia_num","mes_num","año","dia_name","mes_name","final_mes"
20280703,2028-07-03,3,7,2028,lunes,julio,true
20280701,2028-07-01,1,7,2028,sábado,julio,false
20280604,2028-06-04,4,6,2028,domingo,junio,true
20280402,2028-04-02,2,4,2028,domingo,abril,true
20270712,2027-07-12,12,7,2027,lunes,julio,true
20270710,2027-07-10,10,7,2027,sábado,julio,false
20270708,2027-07-08,8,7,2027,jueves,julio,false
20270707,2027-07-07,7,7,2027,miércoles,julio,false
20270705,2027-07-05,5,7,2027,lunes,julio,false
20270703,2027-07-03,3,7,2027,sábado,julio,false
