CATALOG_NAME;SCHEMA_NAME;CUBE_NAME;MEASURE_NAME;MEASURE_UNIQUE_NAME;MEASURE_CAPTION;MEASURE_GUID;MEASURE_AGGREGATOR;DATA_TYPE;NUMERIC_PRECISION;NUMERIC_SCALE;MEASURE_UNITS;DESCRIPTION;EXPRESSION;MEASURE_IS_VISIBLE;LEVELS_LIST;MEASURE_NAME_SQL_COLUMN_NAME;MEASURE_UNQUALIFIED_CAPTION;MEASUREGROUP_NAME;MEASURE_DISPLAY_FOLDER;DEFAULT_FORMAT_STRING
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"Salto total";"[Measures].[Salto total]";"Salto total";;0;20;65535;-1;"";"";"CALCULATE()";True;"";"Salto total";"Salto total";"datos_tarjetas fact_tarjetas_credito_debito";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"Total de cartera tarjetas de credito";"[Measures].[Total de cartera tarjetas de credito]";"Total de cartera tarjetas de credito";;0;5;65535;-1;"";"";"CALCULATE(SUM('datos_tarjetas fact_tarjetas_credito_debito'[valor]),'datos_tarjetas dim_descripcion'[id_descripcion] = 60)";True;"";"Total de cartera tarjetas de credito";"Total de cartera tarjetas de credito";"Medidas";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"Deterioro total";"[Measures].[Deterioro total]";"Deterioro total";;0;5;65535;-1;"";"";"CALCULATE(SUM('datos_tarjetas fact_tarjetas_credito_debito'[valor]),'datos_tarjetas dim_descripcion'[id_descripcion] = 19 || 'datos_tarjetas dim_descripcion'[id_descripcion] = 20 ||'datos_tarjetas dim_descripcion'[id_descripcion] = 22)";True;"";"Deterioro total";"Deterioro total";"Medidas";"";"0"
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"Índice de riesgo global";"[Measures].[Índice de riesgo global]";"Índice de riesgo global";;0;5;65535;-1;"";"";"[Deterioro total] / [Total de cartera tarjetas de credito]";True;"";"Índice de riesgo global";"Índice de riesgo global";"Medidas";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"Ranking por riesgo de entidad";"[Measures].[Ranking por riesgo de entidad]";"Ranking por riesgo de entidad";;0;20;65535;-1;"";"";"IF(
    NOT ISBLANK([Índice de riesgo global]), 
    RANKX(
        ALLSELECTED('datos_tarjetas dim_nombre_entidad'[nombre_entidad]),
        'Medidas'[Índice de riesgo global],
        ,
        DESC,
        Dense
    )
)";True;"";"Ranking por riesgo de entidad";"Ranking por riesgo de entidad";"Medidas";"";"0"
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"% Castigo Capital";"[Measures].[% Castigo Capital]";"% Castigo Capital";;0;5;65535;-1;"";"";"VAR Capital = 
    CALCULATE(
        SUM('datos_tarjetas fact_tarjetas_credito_debito'[valor]),
        'datos_tarjetas dim_descripcion'[id_descripcion] = 20
    )
RETURN 
    DIVIDE(Capital,[Deterioro total],0)";True;"";"% Castigo Capital";"% Castigo Capital";"Medidas";"";"0"
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"% Castigo Otros";"[Measures].[% Castigo Otros]";"% Castigo Otros";;0;5;65535;-1;"";"";"VAR Otros = 
    CALCULATE(
        SUM('datos_tarjetas fact_tarjetas_credito_debito'[valor]),
        'datos_tarjetas dim_descripcion'[id_descripcion] = 19
    )
RETURN 
    DIVIDE(Otros,[Deterioro total],0)";True;"";"% Castigo Otros";"% Castigo Otros";"Medidas";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"% Intereses de Mora";"[Measures].[% Intereses de Mora]";"% Intereses de Mora";;0;5;65535;-1;"";"";"VAR Mora = 
    CALCULATE(
        SUM('datos_tarjetas fact_tarjetas_credito_debito'[valor]),
        'datos_tarjetas dim_descripcion'[id_descripcion] = 22
    )
RETURN 
DIVIDE(Mora,[Deterioro total],0)";True;"";"% Intereses de Mora";"% Intereses de Mora";"Medidas";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"$ Castigo Capital";"[Measures].[$ Castigo Capital]";"$ Castigo Capital";;0;5;65535;-1;"";"";"CALCULATE(
        SUM('datos_tarjetas fact_tarjetas_credito_debito'[valor]),
        'datos_tarjetas dim_descripcion'[id_descripcion] = 20
    )";True;"";"$ Castigo Capital";"$ Castigo Capital";"Medidas";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"Mes - Año";"[Measures].[Mes - Año]";"Mes - Año";;0;130;65535;-1;"";"";"SELECTEDVALUE('datos_tarjetas dim_fecha'[fecha_corte].[Mes],""Mes no definido"")& "" "" & SELECTEDVALUE('datos_tarjetas dim_fecha'[fecha_corte].[Año],""Año no definido"")";True;"";"Mes - Año";"Mes - Año";"Medidas";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"$ Intereses de mora";"[Measures].[$ Intereses de mora]";"$ Intereses de mora";;0;5;65535;-1;"";"";"VAR Mora = 
    CALCULATE(
        SUM('datos_tarjetas fact_tarjetas_credito_debito'[valor]),
        'datos_tarjetas dim_descripcion'[id_descripcion] = 22
    )
RETURN Mora";True;"";"$ Intereses de mora";"$ Intereses de mora";"Medidas";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"$ Castigo Otros";"[Measures].[$ Castigo Otros]";"$ Castigo Otros";;0;5;65535;-1;"";"";"VAR Otros = 
    CALCULATE(
        SUM('datos_tarjetas fact_tarjetas_credito_debito'[valor]),
        'datos_tarjetas dim_descripcion'[id_descripcion] = 19
    )
RETURN Otros";True;"";"$ Castigo Otros";"$ Castigo Otros";"Medidas";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"% Mora x cartera";"[Measures].[% Mora x cartera]";"% Mora x cartera";;0;5;65535;-1;"";"";"VAR Mora = 
    CALCULATE(
        SUM('datos_tarjetas fact_tarjetas_credito_debito'[valor]),
        'datos_tarjetas dim_descripcion'[id_descripcion] = 22
    )
RETURN 
    DIVIDE(Mora,[Total de cartera tarjetas de credito],0)";True;"";"% Mora x cartera";"% Mora x cartera";"Medidas";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"% C.Capital x Cartera";"[Measures].[% C.Capital x Cartera]";"% C.Capital x Cartera";;0;5;65535;-1;"";"";"VAR Capital = 
    CALCULATE(
        SUM('datos_tarjetas fact_tarjetas_credito_debito'[valor]),
        'datos_tarjetas dim_descripcion'[id_descripcion] = 20
    )
RETURN 
    DIVIDE(Capital,[Total de cartera tarjetas de credito],0)";True;"";"% C.Capital x Cartera";"% C.Capital x Cartera";"Medidas";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"% C.Otros x Cartera";"[Measures].[% C.Otros x Cartera]";"% C.Otros x Cartera";;0;5;65535;-1;"";"";"VAR Otros = 
    CALCULATE(
        SUM('datos_tarjetas fact_tarjetas_credito_debito'[valor]),
        'datos_tarjetas dim_descripcion'[id_descripcion] = 19
    )
RETURN DIVIDE(Otros,[Total de cartera tarjetas de credito],0)";True;"";"% C.Otros x Cartera";"% C.Otros x Cartera";"Medidas";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"Día";"[Measures].[Día]";"Día";;0;130;65535;-1;"";"";"SELECTEDVALUE('datos_tarjetas dim_fecha'[fecha_corte].[Día],""Mes no definido"") & "" De""";True;"";"Día";"Día";"Medidas";"";""
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"Tiene Cartera";"[Measures].[Tiene Cartera]";"Tiene Cartera";;0;20;65535;-1;"";"";"VAR TotalActual =
    CALCULATE(
        SUM('datos_tarjetas fact_tarjetas_credito_debito'[valor]),
        'datos_tarjetas dim_descripcion'[id_descripcion] = 22
    )
RETURN
    IF(
        NOT ISBLANK(TotalActual), 
        1, 
        0
    )";True;"";"Tiene Cartera";"Tiene Cartera";"Medidas";"";"0"
"82f70b8b-d9e1-4b60-b423-2548c5e42cfa";"";"Model";"__Default measure";"[Measures].[__Default measure]";"__Default measure";;127;12;65535;-1;"";"";"1";False;"";"__Default measure";"__Default measure";"";"";""
